model,prompt,energy,wcf,gwp
gemini-2.5-pro,compact,0.027824443255947018,0.12278896201961835,0.01078678034219228
gemini-2.5-pro,few5,0.028831448012147654,0.12723286293167946,0.011149360277679038
gemini-2.5-pro,few3,0.02739485520243724,0.12089319466494827,0.01060233928809603
gemini-2.5-pro,few1,0.030039771543695925,0.13256518138484313,0.011627932283269443
gemini-2.5-pro,zero,0.02825856142943022,0.12470472074389982,0.010945630365076746
gemini-2.5-pro,5cot,0.029496036596334957,0.1301656850432236,0.011409259537009692
gemini-2.5-pro,zerocot,0.02639256051248735,0.11647007922344103,0.010216564803059911
gemini-2.5-pro,3cot,0.036282338481568234,0.16011356061343732,0.014040355534732018
gemini-2.5-pro,1cot,0.026414135520983695,0.1165652894986103,0.010219314373311233
gemini-2.5-flash,compact,0.001978620696224292,0.008731631367610142,0.0007728685430937055
gemini-2.5-flash,few5,0.0016179214963419695,0.0071398697662206495,0.0006293030305468316
gemini-2.5-flash,few3,0.0021865268264018166,0.009649118833116126,0.0008514907735119369
gemini-2.5-flash,few1,0.0016415855589572898,0.007244299014237371,0.0006390147457298779
gemini-2.5-flash,zero,0.002104011928170524,0.009284981494885314,0.0008206803061710163
gemini-2.5-flash,5cot,0.002243686026974385,0.009901361756491662,0.0008721760348755547
gemini-2.5-flash,zerocot,0.002707633620984401,0.011948757385434331,0.0010564766128775837
gemini-2.5-flash,3cot,0.002652208683102205,0.011704167744234514,0.0010331343549585467
gemini-2.5-flash,1cot,0.002218102284408761,0.009788460981970731,0.0008644319637983701
claude-sonnet-4-5,compact,0.00043639755418444875,0.0018251041733479373,0.00018399941247499094
claude-sonnet-4-5,few5,8.142824189368358e-05,0.0003416026735554822,3.74483056745914e-05
claude-sonnet-4-5,few3,7.629741904484775e-05,0.00032013685287586244,3.510727769618575e-05
claude-sonnet-4-5,few1,0.0001241154106925579,0.0005172573995143604,5.5802596893834576e-05
claude-sonnet-4-5,zero,0.00034582536047389554,0.0014455881170979121,0.00014683736629381603
claude-sonnet-4-5,5cot,0.00022989944341972462,0.0009618238038854272,9.787112180701593e-05
claude-sonnet-4-5,zerocot,0.0006288064490549422,0.00263289592121455,0.00026073737423909407
claude-sonnet-4-5,3cot,8.003641528420017e-05,0.0003355454398068496,3.664036257068876e-05
claude-sonnet-4-5,1cot,0.000537554915086381,0.0022499288403577135,0.00022415264510751575
claude-haiku-4-5,compact,1.406408725363135e-05,6.0278996034466996e-05,5.8345814037265345e-06
claude-haiku-4-5,few5,3.5740881296604645e-06,1.5351014746063666e-05,1.649119539520178e-06
claude-haiku-4-5,few3,3.6906722830952747e-06,1.5847474360469012e-05,1.6945926518988438e-06
claude-haiku-4-5,few1,5.207947857766727e-06,2.2293475815643537e-05,2.257121746321098e-06
claude-haiku-4-5,zero,1.098723815057072e-05,4.7134499042986825e-05,4.8044900625925115e-06
claude-haiku-4-5,5cot,1.0395845474435754e-05,4.4544110205032084e-05,4.394442486947949e-06
claude-haiku-4-5,zerocot,3.154831788963059e-05,0.00013529328796890678,1.2823361912751315e-05
claude-haiku-4-5,3cot,1.3877316287663858e-05,5.9465951684614314e-05,5.800491658816543e-06
claude-haiku-4-5,1cot,2.4883761543930505e-05,0.0001066610885105763,1.0293007876467048e-05
gpt-5,compact,0.004177888916284763,0.01807989784300064,0.0016779481194958614
gpt-5,few5,0.0021029632669997073,0.009100615597206574,0.0008522365715255695
gpt-5,few3,0.001679605893550605,0.007268528096458114,0.000680875583460828
gpt-5,few1,0.0018795799859624481,0.008133919980852214,0.0007599245987778092
gpt-5,zero,0.001567665818194937,0.006784105181554953,0.0006409026669189125
gpt-5,5cot,0.002310335390213688,0.009998022607857539,0.0009425623248018701
gpt-5,zerocot,0.0010962987213759144,0.004744254642728697,0.00045403022668282194
gpt-5,3cot,0.0018860992345758492,0.008162132159611677,0.0007734119022386425
gpt-5,1cot,0.0019219569659500192,0.008317307209288026,0.0007945532917193245
gpt-5-mini,compact,0.00042277100504773855,0.001829549979764189,0.00017011133645376326
gpt-5-mini,few5,0.00022858209982801458,0.0009891936086477294,9.244890672544819e-05
gpt-5-mini,few3,0.0002558920710157229,0.0011073780551619612,0.00010380024115720684
gpt-5-mini,few1,0.0002944206359339112,0.0012741111904167194,0.00011877193250485795
gpt-5-mini,zero,0.00014230480333931559,0.000615826882546955,5.799704637367925e-05
gpt-5-mini,5cot,0.00027602615418897806,0.0011945087027758863,0.00011220760179948583
gpt-5-mini,zerocot,9.041945186291192e-05,0.0003912919863257885,3.705074191511666e-05
gpt-5-mini,3cot,0.0003044914448707172,0.001317692817506926,0.000123705718558539
gpt-5-mini,1cot,0.00028346640527479437,0.001226706538154778,0.00011527685394990203
